,Match ID,Venue,Innings,Bowling Side,Batting Side,Batter,Winner,Non Striker,Bowler,Ball,Batter Runs,Extra Runs,Run scored,Ball Rebowled,Extra Type,Method,Player Out,Current Score,Target Score,Required Runs,Balls Remaining,Wickets Left,RR,CR,Result
194,1339605,SuperSport Park,2,West Indies,South Africa,Q de Kock,South Africa,RR Hendricks,RA Reifer,5,0,0,0,0,[],caught,Q de Kock,152,259,107.0,55,9,11.672727272727274,14.03076923076923,1
202,1339605,SuperSport Park,2,West Indies,South Africa,RR Rossouw,South Africa,RR Hendricks,OF Smith,6,0,0,0,0,[],caught,RR Rossouw,180,259,79.0,48,8,9.875,15.0,1
207,1339605,SuperSport Park,2,West Indies,South Africa,RR Hendricks,South Africa,DA Miller,R Powell,4,0,0,0,0,[],caught,RR Hendricks,193,259,66.0,44,7,9.0,15.236842105263158,1
226,1339605,SuperSport Park,2,West Indies,South Africa,DA Miller,South Africa,AK Markram,JO Holder,4,0,0,0,0,[],caught,DA Miller,216,259,43.0,26,6,9.923076923076923,13.787234042553193,1
1331,356009,Lord's,2,Sri Lanka,Ireland,WTS Porterfield,Sri Lanka,NJ O'Brien,M Muralitharan,1,0,0,0,0,[],caught,WTS Porterfield,59,145,86.0,65,9,7.938461538461539,6.4363636363636365,0
1359,356009,Lord's,2,Sri Lanka,Ireland,AR White,Sri Lanka,NJ O'Brien,KMDN Kulasekara,5,0,0,0,0,[],caught,AR White,87,145,58.0,37,8,9.405405405405405,6.289156626506024,0
1363,356009,Lord's,2,Sri Lanka,Ireland,KJ O'Brien,Sri Lanka,NJ O'Brien,BAW Mendis,3,0,0,0,0,[],caught,KJ O'Brien,89,145,56.0,33,7,10.181818181818182,6.137931034482758,0
1366,356009,Lord's,2,Sri Lanka,Ireland,NJ O'Brien,Sri Lanka,JF Mooney,BAW Mendis,6,0,0,0,0,[],stumped,NJ O'Brien,91,145,54.0,30,6,10.8,6.066666666666666,0
1380,356009,Lord's,2,Sri Lanka,Ireland,DT Johnston,Sri Lanka,JF Mooney,SL Malinga,2,0,0,0,0,[],bowled,DT Johnston,106,145,39.0,16,5,14.625,6.115384615384615,0
1381,356009,Lord's,2,Sri Lanka,Ireland,AC Botha,Sri Lanka,JF Mooney,SL Malinga,3,0,0,0,0,[],bowled,AC Botha,106,145,39.0,15,4,15.600000000000001,6.057142857142857,0
1395,356009,Lord's,2,Sri Lanka,Ireland,JF Mooney,Sri Lanka,AR Cusack,SL Malinga,3,0,0,0,0,[],run out,AR Cusack,129,145,16.0,3,3,32.0,6.615384615384616,0
1875,1072317,Bellerive Oval,2,England,Australia,DA Warner,Australia,DJM Short,DJ Willey,2,0,0,0,0,[],caught,DA Warner,4,156,152.0,118,9,7.728813559322033,12.0,1
1877,1072317,Bellerive Oval,2,England,Australia,CA Lynn,Australia,DJM Short,DJ Willey,4,0,0,0,0,[],bowled,CA Lynn,4,156,152.0,116,8,7.862068965517241,6.0,1
